"item_key","type","id","label","section","caption","optional","default_formats","input_state","state_hash","setup_summary","include","placement"
"figure:length-frequency-residuals-fishery-1-01-ll-west-1","figure","length-frequency-residuals-fishery-1-01-ll-west-1","Length-frequency residuals: 01.LL.WEST.1","Length Frequency","Length-frequency bubble residuals for 01.LL.WEST.1 in the 2026 bigeye tuna assessment. Bubble size and sign show observed-minus-fitted residual structure by length bin; panels identify selected years and colours, line styles, or legends identify assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:length-frequency-residuals-fishery-2-02-ll-east-1","figure","length-frequency-residuals-fishery-2-02-ll-east-1","Length-frequency residuals: 02.LL.EAST.1","Length Frequency","Length-frequency bubble residuals for 02.LL.EAST.1 in the 2026 bigeye tuna assessment. Bubble size and sign show observed-minus-fitted residual structure by length bin; panels identify selected years and colours, line styles, or legends identify assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:length-frequency-residuals-fishery-3-03-ll-us-1","figure","length-frequency-residuals-fishery-3-03-ll-us-1","Length-frequency residuals: 03.LL.US.1","Length Frequency","Length-frequency bubble residuals for 03.LL.US.1 in the 2026 bigeye tuna assessment. Bubble size and sign show observed-minus-fitted residual structure by length bin; panels identify selected years and colours, line styles, or legends identify assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:length-frequency-residuals-fishery-4-04-ll-all-2","figure","length-frequency-residuals-fishery-4-04-ll-all-2","Length-frequency residuals: 04.LL.ALL.2","Length Frequency","Length-frequency bubble residuals for 04.LL.ALL.2 in the 2026 bigeye tuna assessment. Bubble size and sign show observed-minus-fitted residual structure by length bin; panels identify selected years and colours, line styles, or legends identify assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:length-frequency-residuals-fishery-5-05-ll-os-2","figure","length-frequency-residuals-fishery-5-05-ll-os-2","Length-frequency residuals: 05.LL.OS.2","Length Frequency","Length-frequency bubble residuals for 05.LL.OS.2 in the 2026 bigeye tuna assessment. Bubble size and sign show observed-minus-fitted residual structure by length bin; panels identify selected years and colours, line styles, or legends identify assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:length-frequency-residuals-fishery-6-06-ll-arch-3","figure","length-frequency-residuals-fishery-6-06-ll-arch-3","Length-frequency residuals: 06.LL.ARCH.3","Length Frequency","Length-frequency bubble residuals for 06.LL.ARCH.3 in the 2026 bigeye tuna assessment. Bubble size and sign show observed-minus-fitted residual structure by length bin; panels identify selected years and colours, line styles, or legends identify assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:length-frequency-residuals-fishery-7-07-ll-west-3","figure","length-frequency-residuals-fishery-7-07-ll-west-3","Length-frequency residuals: 07.LL.WEST.3","Length Frequency","Length-frequency bubble residuals for 07.LL.WEST.3 in the 2026 bigeye tuna assessment. Bubble size and sign show observed-minus-fitted residual structure by length bin; panels identify selected years and colours, line styles, or legends identify assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:length-frequency-residuals-fishery-8-08-ll-east-3","figure","length-frequency-residuals-fishery-8-08-ll-east-3","Length-frequency residuals: 08.LL.EAST.3","Length Frequency","Length-frequency bubble residuals for 08.LL.EAST.3 in the 2026 bigeye tuna assessment. Bubble size and sign show observed-minus-fitted residual structure by length bin; panels identify selected years and colours, line styles, or legends identify assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:length-frequency-residuals-fishery-9-09-ll-os-3","figure","length-frequency-residuals-fishery-9-09-ll-os-3","Length-frequency residuals: 09.LL.OS.3","Length Frequency","Length-frequency bubble residuals for 09.LL.OS.3 in the 2026 bigeye tuna assessment. Bubble size and sign show observed-minus-fitted residual structure by length bin; panels identify selected years and colours, line styles, or legends identify assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:length-frequency-residuals-fishery-10-10-ll-all-5","figure","length-frequency-residuals-fishery-10-10-ll-all-5","Length-frequency residuals: 10.LL.ALL.5","Length Frequency","Length-frequency bubble residuals for 10.LL.ALL.5 in the 2026 bigeye tuna assessment. Bubble size and sign show observed-minus-fitted residual structure by length bin; panels identify selected years and colours, line styles, or legends identify assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:length-frequency-residuals-fishery-11-11-ll-au-5","figure","length-frequency-residuals-fishery-11-11-ll-au-5","Length-frequency residuals: 11.LL.AU.5","Length Frequency","Length-frequency bubble residuals for 11.LL.AU.5 in the 2026 bigeye tuna assessment. Bubble size and sign show observed-minus-fitted residual structure by length bin; panels identify selected years and colours, line styles, or legends identify assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:length-frequency-residuals-fishery-12-12-ps-jp-1","figure","length-frequency-residuals-fishery-12-12-ps-jp-1","Length-frequency residuals: 12.PS.JP.1","Length Frequency","Length-frequency bubble residuals for 12.PS.JP.1 in the 2026 bigeye tuna assessment. Bubble size and sign show observed-minus-fitted residual structure by length bin; panels identify selected years and colours, line styles, or legends identify assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:length-frequency-residuals-fishery-13-13-pl-jp-1","figure","length-frequency-residuals-fishery-13-13-pl-jp-1","Length-frequency residuals: 13.PL.JP.1","Length Frequency","Length-frequency bubble residuals for 13.PL.JP.1 in the 2026 bigeye tuna assessment. Bubble size and sign show observed-minus-fitted residual structure by length bin; panels identify selected years and colours, line styles, or legends identify assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:length-frequency-residuals-fishery-14-14-hl-id-2","figure","length-frequency-residuals-fishery-14-14-hl-id-2","Length-frequency residuals: 14.HL.ID.2","Length Frequency","Length-frequency bubble residuals for 14.HL.ID.2 in the 2026 bigeye tuna assessment. Bubble size and sign show observed-minus-fitted residual structure by length bin; panels identify selected years and colours, line styles, or legends identify assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:length-frequency-residuals-fishery-15-15-hl-ph-2","figure","length-frequency-residuals-fishery-15-15-hl-ph-2","Length-frequency residuals: 15.HL.PH.2","Length Frequency","Length-frequency bubble residuals for 15.HL.PH.2 in the 2026 bigeye tuna assessment. Bubble size and sign show observed-minus-fitted residual structure by length bin; panels identify selected years and colours, line styles, or legends identify assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:length-frequency-residuals-fishery-16-16-pl-all-2","figure","length-frequency-residuals-fishery-16-16-pl-all-2","Length-frequency residuals: 16.PL.ALL.2","Length Frequency","Length-frequency bubble residuals for 16.PL.ALL.2 in the 2026 bigeye tuna assessment. Bubble size and sign show observed-minus-fitted residual structure by length bin; panels identify selected years and colours, line styles, or legends identify assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:length-frequency-residuals-fishery-17-17-ps-id-2","figure","length-frequency-residuals-fishery-17-17-ps-id-2","Length-frequency residuals: 17.PS.ID.2","Length Frequency","Length-frequency bubble residuals for 17.PS.ID.2 in the 2026 bigeye tuna assessment. Bubble size and sign show observed-minus-fitted residual structure by length bin; panels identify selected years and colours, line styles, or legends identify assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:length-frequency-residuals-fishery-18-18-ps-ph-2","figure","length-frequency-residuals-fishery-18-18-ps-ph-2","Length-frequency residuals: 18.PS.PH.2","Length Frequency","Length-frequency bubble residuals for 18.PS.PH.2 in the 2026 bigeye tuna assessment. Bubble size and sign show observed-minus-fitted residual structure by length bin; panels identify selected years and colours, line styles, or legends identify assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:ai-ml-rule-finder","figure","ai-ml-rule-finder","AI/ML rule finder","Likelihood Profile","Rule-finder diagnostic for the 2026 bigeye tuna assessment. The plot summarizes model-change rules identified from the mfclshiny diagnostic data and highlights rules associated with conflict reduction.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:likelihood-cal-fishery","figure","likelihood-cal-fishery","CAL likelihood by fishery","Likelihood Profile","Conditional-age-at-length likelihood profiles by fishery for the 2026 bigeye tuna assessment. Lines or panels identify fisheries and selected assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:likelihood-cal-year","figure","likelihood-cal-year","CAL likelihood by year","Likelihood Profile","Conditional-age-at-length likelihood profiles by year for the 2026 bigeye tuna assessment. Lines or panels identify years and selected assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:change-yes-no-effect","figure","change-yes-no-effect","Change yes/no effect","Likelihood Profile","Change-token yes/no effect diagnostic for the 2026 bigeye tuna assessment. The plot summarizes whether the presence or absence of each model-change token is associated with higher or lower diagnostic conflict.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:conflict-classification-tree","figure","conflict-classification-tree","Conflict classification tree","Likelihood Profile","Classification-tree summary of conflict diagnostics for the 2026 bigeye tuna assessment. Node labels summarize the split rules and the predicted low- or high-conflict class.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:likelihood-cpue","figure","likelihood-cpue","CPUE likelihood","Likelihood Profile","CPUE likelihood profiles for the 2026 bigeye tuna assessment. Lines or panels identify CPUE index fisheries and selected assessment models, showing which index components contribute most to likelihood differences.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:iwcbi-continuous-regression-tree","figure","iwcbi-continuous-regression-tree","IWCBI continuous regression tree","Likelihood Profile","Regression-tree summary of continuous IWCBI conflict diagnostics for the 2026 bigeye tuna assessment. Node labels summarize the split rules and mean conflict score for models reaching each node.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:likelihood-length-frequency","figure","likelihood-length-frequency","Length-frequency likelihood","Likelihood Profile","Length-frequency likelihood profiles for the 2026 bigeye tuna assessment. Lines or panels identify length-frequency components by fishery or region and selected assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:likelihood-diagnostics","figure","likelihood-diagnostics","Likelihood components","Likelihood Profile","Likelihood component profiles for the 2026 bigeye tuna assessment. Lines show changes in negative log-likelihood components across selected models or profile values; legends identify likelihood components and assessment models.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:likelihood-diagnostics-with-influence","figure","likelihood-diagnostics-with-influence","Likelihood components with influence","Likelihood Profile","Likelihood component profiles with influence diagnostics for the 2026 bigeye tuna assessment. The figure combines likelihood profiles with an influence panel to show which components drive changes among selected assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:line-conflict-resolution","figure","line-conflict-resolution","Line conflict resolution","Likelihood Profile","Line-level conflict-resolution diagnostic for the 2026 bigeye tuna assessment. Labels and colours identify likelihood or diagnostic lines where model changes reduce or increase conflict.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:pairwise-conflict-resolution","figure","pairwise-conflict-resolution","Pairwise conflict resolution","Likelihood Profile","Pairwise conflict-resolution diagnostic for the 2026 bigeye tuna assessment. The plot compares pairs of model changes to show which combinations are associated with lower diagnostic conflict.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:rf-style-token-importance","figure","rf-style-token-importance","RF-style token importance","Likelihood Profile","Random-forest-style token importance diagnostic for the 2026 bigeye tuna assessment. Bars rank model-change tokens by their relative contribution to explaining diagnostic conflict patterns.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:likelihood-tagging","figure","likelihood-tagging","Tagging likelihood","Likelihood Profile","Tagging likelihood profiles for the 2026 bigeye tuna assessment. Lines or panels identify selected tagging components and assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:likelihood-weight-frequency","figure","likelihood-weight-frequency","Weight-frequency likelihood","Likelihood Profile","Weight-frequency likelihood profiles for the 2026 bigeye tuna assessment. Lines or panels identify weight-frequency components by fishery or region and selected assessment models.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:growth-curve","figure","growth-curve","Growth curve","Population Biology","Growth curve for the 2026 bigeye tuna assessment. Lines show predicted mean length at age, and any shaded band indicates the configured growth uncertainty interval for selected assessment models.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:maturity-at-age","figure","maturity-at-age","Maturity at age","Population Biology","Maturity at age for the 2026 bigeye tuna assessment. Curves show the proportion mature by age class for selected assessment models.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:natural-mortality-at-age","figure","natural-mortality-at-age","Natural mortality at age","Population Biology","Natural mortality at age for the 2026 bigeye tuna assessment. Curves show the assumed or estimated natural mortality schedule by age class for selected assessment models.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:population-biology","figure","population-biology","Stock-recruitment relationship","Population Biology","Stock-recruitment relationship for the 2026 bigeye tuna assessment. Points or lines show annual recruitment against adult biomass or spawning biomass; facets and legends identify selected assessment models.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:region-map","figure","region-map","Region map","Region Map","Region map for the 2026 bigeye tuna assessment. The figure uses the labels, colours, facets, and legends shown in the plot to identify scenarios, fisheries, regions, years, or diagnostics selected in mfclshiny. It is generated from the Region Map view.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:retrospective-diagnostics","figure","retrospective-diagnostics","Retrospective diagnostics","Retro","Retrospective diagnostics for the 2026 bigeye tuna assessment. Lines compare depletion and spawning-potential estimates from peel runs against the reference model.",TRUE,"png,pdf","","","",FALSE,"exclude"
