"figure","file","relative_path","label","caption","alt_text","description","format","rows","models","width","height","dpi","placement","status"
"kobe-plot","kobe-plot.png","figures/kobe-plot.png","Kobe plot","Kobe stock-status trajectory for the 2026 bigeye tuna assessment. Points and connecting paths show the trajectory through time relative to biomass and fishing-intensity reference axes; colours identify selected assessment models.","Kobe stock-status trajectory for the 2026 bigeye tuna assessment. Points and connecting paths show the trajectory through time relative to biomass and fishing-intensity reference axes; colours identify selected assessment models.","Key Quantities","png",NA,NA,12,8,150,"auto","ok"
"majuro-plot","majuro-plot.png","figures/majuro-plot.png","Majuro plot","Majuro stock-status trajectory for the 2026 bigeye tuna assessment. Points and connecting paths show depletion and fishing intensity through time; colours identify selected assessment models and reference zones aid stock-status interpretation.","Majuro stock-status trajectory for the 2026 bigeye tuna assessment. Points and connecting paths show depletion and fishing intensity through time; colours identify selected assessment models and reference zones aid stock-status interpretation.","Key Quantities","png",NA,NA,12,8,150,"auto","ok"
"f-juvenile-adult-by-area","f-juvenile-adult-by-area.png","figures/f-juvenile-adult-by-area.png","Juvenile and adult fishing mortality by area","Juvenile and adult annual instantaneous fishing mortality by model region for the 2026 bigeye tuna assessment. Panels or line groups separate juvenile and adult components and identify regional differences through time.","Juvenile and adult annual instantaneous fishing mortality by model region for the 2026 bigeye tuna assessment. Panels or line groups separate juvenile and adult components and identify regional differences through time.","Key Quantities","png",NA,NA,12,8,150,"auto","ok"
"f-area-contribution","f-area-contribution.png","figures/f-area-contribution.png","Area contribution to fishing mortality","Regional contribution to total annual instantaneous fishing mortality for the 2026 bigeye tuna assessment. Stacked or faceted values show how each model area contributes to total F through time for the selected assessment models.","Regional contribution to total annual instantaneous fishing mortality for the 2026 bigeye tuna assessment. Stacked or faceted values show how each model area contributes to total F through time for the selected assessment models.","Key Quantities","png",NA,NA,12,8,150,"auto","ok"
"spawning-potential-with-without-fishing","spawning-potential-with-without-fishing.png","figures/spawning-potential-with-without-fishing.png","Spawning potential with and without fishing","Spawning potential with and without fishing for the 2026 bigeye tuna assessment. Lines compare estimated fishing conditions with no-fishing reference conditions through time for the selected assessment models.","Spawning potential with and without fishing for the 2026 bigeye tuna assessment. Lines compare estimated fishing conditions with no-fishing reference conditions through time for the selected assessment models.","Key Quantities","png",NA,NA,12,8,150,"auto","ok"
"total-biomass-with-without-fishing","total-biomass-with-without-fishing.png","figures/total-biomass-with-without-fishing.png","Total biomass with and without fishing","Total biomass with and without fishing for the 2026 bigeye tuna assessment. Lines compare estimated fishing conditions with no-fishing reference conditions through time for the selected assessment models.","Total biomass with and without fishing for the 2026 bigeye tuna assessment. Lines compare estimated fishing conditions with no-fishing reference conditions through time for the selected assessment models.","Key Quantities","png",NA,NA,12,8,150,"auto","ok"
"region-map","region-map.png","figures/region-map.png","Region map","Region map for the 2026 bigeye tuna assessment. The figure uses the labels, colours, facets, and legends shown in the plot to identify scenarios, fisheries, regions, years, or diagnostics selected in mfclshiny. It is generated from the Region Map view.","Region map for the 2026 bigeye tuna assessment. The figure uses the labels, colours, facets, and legends shown in the plot to identify scenarios, fisheries, regions, years, or diagnostics selected in mfclshiny. It is generated from the Region Map view.","Region Map","png",NA,NA,10.5,7.8,150,"auto","ok"
"tagging-dynamics","tagging-dynamics.png","figures/tagging-dynamics.png","Tag reporting rates","Estimated tag reporting rates for the 2026 bigeye tuna assessment. Distributions or intervals summarize reporting-rate estimates by tag reporting group; colours and facets identify selected assessment models or grouping variables.","Estimated tag reporting rates for the 2026 bigeye tuna assessment. Distributions or intervals summarize reporting-rate estimates by tag reporting group; colours and facets identify selected assessment models or grouping variables.","Tagging Dynamics","png",NA,NA,12,8,150,"auto","ok"
"tag-returns-all","tag-returns-all.png","figures/tag-returns-all.png","Tag returns over time","Observed tag returns over time for the 2026 bigeye tuna assessment, with all recapture fisheries combined. Lines and facets identify selected assessment models and the temporal pattern of total tag returns.","Observed tag returns over time for the 2026 bigeye tuna assessment, with all recapture fisheries combined. Lines and facets identify selected assessment models and the temporal pattern of total tag returns.","Tagging Dynamics","png",NA,NA,12,8,150,"auto","ok"
"tag-returns-by-group","tag-returns-by-group.png","figures/tag-returns-by-group.png","Tag returns by recapture group","Observed tag returns over time by recapture group for the 2026 bigeye tuna assessment. Panels or colours identify recapture groups and selected assessment models.","Observed tag returns over time by recapture group for the 2026 bigeye tuna assessment. Panels or colours identify recapture groups and selected assessment models.","Tagging Dynamics","png",NA,NA,12,8,150,"auto","ok"
"tag-attrition-all","tag-attrition-all.png","figures/tag-attrition-all.png","Tag attrition","Tag attrition through time for the 2026 bigeye tuna assessment, with all recapture fisheries combined. Lines summarize the decline in available tag cohorts through time for selected assessment models.","Tag attrition through time for the 2026 bigeye tuna assessment, with all recapture fisheries combined. Lines summarize the decline in available tag cohorts through time for selected assessment models.","Tagging Dynamics","png",NA,NA,12,8,150,"auto","ok"
"tag-attrition-by-program","tag-attrition-by-program.png","figures/tag-attrition-by-program.png","Tag attrition by program","Tag attrition through time by tagging program for the 2026 bigeye tuna assessment. Panels or colours identify tag programs and selected assessment models.","Tag attrition through time by tagging program for the 2026 bigeye tuna assessment. Panels or colours identify tag programs and selected assessment models.","Tagging Dynamics","png",NA,NA,12,8,150,"auto","ok"
"tag-attrition-by-region","tag-attrition-by-region.png","figures/tag-attrition-by-region.png","Tag attrition by recapture region","Tag attrition through time by recapture region for the 2026 bigeye tuna assessment. Panels or colours identify regions and selected assessment models.","Tag attrition through time by recapture region for the 2026 bigeye tuna assessment. Panels or colours identify regions and selected assessment models.","Tagging Dynamics","png",NA,NA,12,8,150,"auto","ok"
"fishery-process","fishery-process.png","figures/fishery-process.png","Fishery selectivity at age","Age-based fishery selectivity for the 2026 bigeye tuna assessment. Curves show estimated selectivity by age class for selected fisheries; facets and legends identify fisheries and assessment models.","Age-based fishery selectivity for the 2026 bigeye tuna assessment. Curves show estimated selectivity by age class for selected fisheries; facets and legends identify fisheries and assessment models.","Fishery Process Dynamics","png",NA,NA,12,8,150,"auto","ok"
"fishery-selectivity-length","fishery-selectivity-length.png","figures/fishery-selectivity-length.png","Fishery selectivity at length","Length-based fishery selectivity for the 2026 bigeye tuna assessment. Curves show estimated selectivity by length for selected fisheries; facets and legends identify fisheries and assessment models.","Length-based fishery selectivity for the 2026 bigeye tuna assessment. Curves show estimated selectivity by length for selected fisheries; facets and legends identify fisheries and assessment models.","Fishery Process Dynamics","png",NA,NA,12,8,150,"auto","ok"
"fishery-selectivity-weight","fishery-selectivity-weight.png","figures/fishery-selectivity-weight.png","Fishery selectivity at weight","Weight-based fishery selectivity for the 2026 bigeye tuna assessment. Curves show estimated selectivity by weight for selected fisheries; facets and legends identify fisheries and assessment models.","Weight-based fishery selectivity for the 2026 bigeye tuna assessment. Curves show estimated selectivity by weight for selected fisheries; facets and legends identify fisheries and assessment models.","Fishery Process Dynamics","png",NA,NA,12,8,150,"auto","ok"
"regional-movement","regional-movement.png","figures/regional-movement.png","Regional movement","Estimated quarterly regional movement for the 2026 bigeye tuna assessment. Matrix cells show movement probabilities from origin to destination regions; facets identify quarters or assessment models where available.","Estimated quarterly regional movement for the 2026 bigeye tuna assessment. Matrix cells show movement probabilities from origin to destination regions; facets identify quarters or assessment models where available.","Fishery Process Dynamics","png",NA,NA,12,8,150,"auto","ok"
"population-biology","population-biology.png","figures/population-biology.png","Stock-recruitment relationship","Stock-recruitment relationship for the 2026 bigeye tuna assessment. Points or lines show annual recruitment against adult biomass or spawning biomass; facets and legends identify selected assessment models.","Stock-recruitment relationship for the 2026 bigeye tuna assessment. Points or lines show annual recruitment against adult biomass or spawning biomass; facets and legends identify selected assessment models.","Population Biology","png",NA,NA,12,8,150,"auto","ok"
"maturity-at-age","maturity-at-age.png","figures/maturity-at-age.png","Maturity at age","Maturity at age for the 2026 bigeye tuna assessment. Curves show the proportion mature by age class for selected assessment models.","Maturity at age for the 2026 bigeye tuna assessment. Curves show the proportion mature by age class for selected assessment models.","Population Biology","png",NA,NA,12,8,150,"auto","ok"
"natural-mortality-at-age","natural-mortality-at-age.png","figures/natural-mortality-at-age.png","Natural mortality at age","Natural mortality at age for the 2026 bigeye tuna assessment. Curves show the assumed or estimated natural mortality schedule by age class for selected assessment models.","Natural mortality at age for the 2026 bigeye tuna assessment. Curves show the assumed or estimated natural mortality schedule by age class for selected assessment models.","Population Biology","png",NA,NA,12,8,150,"auto","ok"
"growth-curve","growth-curve.png","figures/growth-curve.png","Growth curve","Growth curve for the 2026 bigeye tuna assessment. Lines show predicted mean length at age, and any shaded band indicates the configured growth uncertainty interval for selected assessment models.","Growth curve for the 2026 bigeye tuna assessment. Lines show predicted mean length at age, and any shaded band indicates the configured growth uncertainty interval for selected assessment models.","Population Biology","png",NA,NA,12,8,150,"auto","ok"
